# x_m,y_m,w_tr_right_m,w_tr_left_m
-142.471042,-1970.545196,4.084,4.084
-138.229377,-1973.291056,4.117,4.117
-133.794187,-1976.110561,4.145,4.145
-129.371126,-1978.941783,4.109,4.109
-124.410144,-1981.688179,4.219,4.219
-119.021787,-1984.117319,4.470,4.470
-113.417437,-1985.988681,4.591,4.591
-108.362235,-1987.316360,4.509,4.509
-103.307646,-1988.625067,4.399,4.399
-98.253103,-1989.916642,4.259,4.259
-92.363313,-1991.278645,4.194,4.194
-87.338885,-1992.343396,4.197,4.197
-82.139213,-1993.427156,4.220,4.220
-77.033835,-1994.541324,4.225,4.225
-71.881388,-1995.730768,4.282,4.282
-66.667151,-1997.085861,4.341,4.341
-61.427465,-1998.763404,4.511,4.511
-56.255849,-2001.033309,4.764,4.764
-51.343705,-2003.735154,5.010,5.010
-46.527260,-2006.902620,5.203,5.203
-42.613768,-2010.026529,5.233,5.233
-38.692525,-2013.802379,5.191,5.191
-35.012687,-2017.765906,5.135,5.135
-31.396025,-2021.917384,5.020,5.020
-27.985459,-2025.999814,4.864,4.864
-24.634252,-2030.070457,4.687,4.687
-21.326684,-2034.136749,4.514,4.514
-18.051090,-2038.259568,4.352,4.352
-14.857904,-2042.418909,4.228,4.228
-11.747279,-2046.629271,4.148,4.148
-8.704399,-2050.863645,4.105,4.105
-5.717423,-2055.122925,4.099,4.099
-2.806571,-2059.423545,4.151,4.151
0.051984,-2063.737966,4.242,4.242
2.913797,-2067.999593,4.317,4.317
5.820977,-2072.107987,4.345,4.345
9.510075,-2076.717227,4.337,4.337
13.417495,-2080.884465,4.423,4.423
17.714678,-2084.599311,4.589,4.589
22.519875,-2087.867948,4.761,4.761
27.438294,-2090.394664,4.880,4.880
32.560801,-2091.987871,4.960,4.960
37.863025,-2092.658621,5.004,5.004
43.055563,-2092.328031,5.213,5.213
48.572116,-2090.939952,5.218,5.218
53.393922,-2088.858582,5.035,5.035
57.658798,-2086.009993,5.012,5.012
61.728967,-2082.076638,4.993,4.993
65.129585,-2077.671313,4.808,4.808
68.170941,-2072.620657,4.609,4.609
70.603667,-2068.214016,4.463,4.463
72.966440,-2063.617967,4.324,4.324
75.213033,-2059.057774,4.210,4.210
77.418623,-2054.467245,4.118,4.118
79.631131,-2049.772867,4.060,4.060
81.805965,-2045.037148,4.030,4.030
84.029449,-2040.303179,4.004,4.004
86.165623,-2035.636955,3.980,3.980
88.293823,-2030.870989,3.956,3.956
90.404946,-2026.131094,3.935,3.935
92.475921,-2021.358485,3.912,3.912
94.554312,-2016.582020,3.896,3.896
96.569590,-2011.870387,3.890,3.890
98.557135,-2007.074949,3.891,3.891
100.494501,-2002.305813,3.898,3.898
102.320602,-1997.499426,3.916,3.916
104.150339,-1992.601883,3.940,3.940
105.967990,-1987.726738,3.967,3.967
107.782910,-1982.824672,3.993,3.993
109.616167,-1977.923584,4.016,4.016
111.461039,-1973.020703,4.026,4.026
113.337052,-1968.117201,4.026,4.026
115.237795,-1963.237604,4.021,4.021
117.151479,-1958.364248,4.008,4.008
119.090125,-1953.495433,3.989,3.989
121.034627,-1948.630270,3.939,3.939
122.980474,-1943.800405,3.870,3.870
124.896411,-1939.006366,3.819,3.819
126.778582,-1934.206812,3.800,3.800
128.624189,-1929.394332,3.821,3.821
130.388482,-1924.598980,3.882,3.882
132.061596,-1919.798880,3.991,3.991
133.600616,-1914.934527,4.097,4.097
135.023471,-1909.974107,4.162,4.162
136.258010,-1905.057230,4.167,4.167
137.341375,-1900.027629,4.130,4.130
138.307826,-1895.030624,4.065,4.065
139.205015,-1889.845460,3.977,3.977
139.998749,-1884.868964,3.904,3.904
140.602079,-1878.984564,3.836,3.836
140.790405,-1873.913029,3.824,3.824
140.883841,-1868.765994,3.802,3.802
140.995372,-1863.509225,3.791,3.791
141.113569,-1858.352134,3.784,3.784
141.215190,-1853.120790,3.775,3.775
141.326908,-1847.963700,3.767,3.767
141.376371,-1842.760404,3.754,3.754
141.436310,-1837.556740,3.744,3.744
141.475033,-1832.355597,3.738,3.738
141.521052,-1827.146989,3.738,3.738
141.557704,-1821.954826,3.747,3.747
141.595217,-1816.737228,3.773,3.773
141.632401,-1811.563918,3.812,3.812
141.631541,-1806.318807,3.824,3.824
141.623625,-1801.110610,3.801,3.801
141.627255,-1795.885078,3.796,3.796
141.639044,-1790.671991,3.779,3.779
141.664703,-1785.464999,3.772,3.772
141.691858,-1780.251851,3.774,3.774
141.716165,-1775.056805,3.777,3.777
141.743158,-1769.836396,3.784,3.784
141.751919,-1764.628183,3.776,3.776
141.768484,-1759.437044,3.788,3.788
141.779715,-1754.215126,3.798,3.798
141.788429,-1749.009759,3.815,3.815
141.801005,-1743.799856,3.836,3.836
141.817021,-1738.591381,3.873,3.873
141.829804,-1733.383670,3.901,3.901
141.842822,-1728.141900,3.934,3.934
141.866427,-1722.922403,3.960,3.960
141.898793,-1717.676397,3.972,3.972
141.927511,-1712.441023,3.972,3.972
141.968747,-1707.216707,3.973,3.973
142.004656,-1701.978688,3.962,3.962
142.040696,-1696.739562,3.951,3.951
142.074416,-1691.505711,3.917,3.917
142.112843,-1686.307900,3.907,3.907
142.158742,-1681.072140,3.930,3.930
142.189549,-1675.835573,3.936,3.936
142.210352,-1670.603905,3.931,3.931
142.221521,-1665.390341,3.921,3.921
142.224127,-1660.156772,3.908,3.908
142.205635,-1654.934327,3.891,3.891
142.166569,-1649.697979,3.865,3.865
142.118583,-1644.466733,3.836,3.836
142.064352,-1639.228440,3.808,3.808
142.010465,-1633.990035,3.784,3.784
141.950330,-1628.750772,3.762,3.762
141.888164,-1623.517872,3.744,3.744
141.817715,-1618.284829,3.730,3.730
141.747060,-1613.039098,3.720,3.720
141.671976,-1607.818499,3.725,3.725
141.591731,-1602.579570,3.740,3.740
141.510747,-1597.347023,3.758,3.758
141.422612,-1592.102693,3.777,3.777
141.342258,-1586.852094,3.795,3.795
141.268539,-1581.607532,3.808,3.808
141.200483,-1576.356677,3.819,3.819
141.062969,-1571.125417,3.751,3.751
141.078577,-1565.883113,3.829,3.829
141.031881,-1560.619093,3.826,3.826
140.997876,-1555.373329,3.817,3.817
140.964866,-1550.133671,3.810,3.810
140.923203,-1544.899886,3.804,3.804
140.872417,-1539.672427,3.800,3.800
140.797653,-1534.451042,3.800,3.800
140.705907,-1529.210992,3.803,3.803
140.608486,-1523.970837,3.804,3.804
140.508367,-1518.724156,3.802,3.802
140.407021,-1513.477392,3.795,3.795
140.301135,-1508.236298,3.780,3.780
140.196180,-1502.982867,3.760,3.760
140.094491,-1497.735009,3.738,3.738
139.999968,-1492.480696,3.714,3.714
139.918161,-1487.225697,3.688,3.688
139.850331,-1481.976493,3.662,3.662
139.790408,-1476.726974,3.642,3.642
139.737369,-1471.483135,3.630,3.630
139.690093,-1466.239139,3.625,3.625
139.644701,-1461.000921,3.636,3.636
139.593651,-1455.762898,3.651,3.651
139.534369,-1450.523694,3.668,3.668
139.466275,-1445.223177,3.686,3.686
139.382429,-1440.045856,3.711,3.711
139.294435,-1434.795054,3.732,3.732
139.205141,-1429.547653,3.749,3.749
139.119401,-1424.327863,3.756,3.756
139.036280,-1419.033376,3.753,3.753
138.956471,-1413.776080,3.744,3.744
138.877797,-1408.525142,3.729,3.729
138.797592,-1403.243158,3.711,3.711
138.713009,-1398.036684,3.692,3.692
138.625523,-1392.803173,3.673,3.673
138.535164,-1387.569191,3.655,3.655
138.442815,-1382.326737,3.640,3.640
138.350259,-1377.101785,3.631,3.631
138.256460,-1371.860283,3.630,3.630
138.159149,-1366.635331,3.640,3.640
138.058751,-1361.388294,3.657,3.657
137.959627,-1356.161006,3.677,3.677
137.864176,-1350.919752,3.699,3.699
137.774816,-1345.674763,3.721,3.721
137.692725,-1340.428972,3.743,3.743
137.616835,-1335.177557,3.761,3.761
137.545698,-1329.932090,3.773,3.773
137.482664,-1324.682806,3.776,3.776
137.431605,-1319.425870,3.767,3.767
137.391059,-1314.169485,3.749,3.749
137.357823,-1308.920891,3.723,3.723
137.328206,-1303.684328,3.692,3.692
137.299956,-1298.436105,3.657,3.657
137.265298,-1293.186684,3.610,3.610
137.235593,-1287.937155,3.565,3.565
137.215060,-1282.693033,3.530,3.530
137.203010,-1277.448418,3.508,3.508
137.200119,-1272.209771,3.505,3.505
137.204229,-1266.964586,3.517,3.517
137.209342,-1261.725612,3.535,3.535
137.212587,-1256.473898,3.557,3.557
137.213284,-1251.228417,3.582,3.582
137.213410,-1245.983015,3.610,3.610
137.211989,-1240.737614,3.638,3.638
137.203395,-1235.492197,3.662,3.662
137.185216,-1230.246950,3.681,3.681
137.158855,-1225.001788,3.696,3.696
137.125262,-1219.750652,3.705,3.705
137.089894,-1214.505660,3.712,3.712
137.046674,-1209.261088,3.715,3.715
136.999101,-1204.016578,3.717,3.717
136.945222,-1198.772345,3.716,3.716
136.888717,-1193.521974,3.714,3.714
136.835005,-1188.271788,3.710,3.710
136.783470,-1183.028062,3.706,3.706
136.732328,-1177.778138,3.703,3.703
136.688804,-1172.528478,3.703,3.703
136.648977,-1167.278845,3.702,3.702
136.613549,-1162.029567,3.702,3.702
136.579187,-1156.780380,3.700,3.700
136.551579,-1151.525138,3.695,3.695
136.533225,-1146.276420,3.687,3.687
136.518138,-1141.027818,3.678,3.678
136.505115,-1135.779624,3.670,3.670
136.489425,-1130.537581,3.662,3.662
136.479419,-1125.289860,3.654,3.654
136.470850,-1120.042174,3.646,3.646
136.462072,-1114.801071,3.640,3.640
136.450060,-1109.560113,3.636,3.636
136.435003,-1104.319427,3.632,3.632
136.419880,-1099.072872,3.628,3.628
136.402491,-1093.832513,3.625,3.625
136.382880,-1088.592577,3.625,3.625
136.357229,-1083.359011,3.624,3.624
136.326018,-1078.119562,3.624,3.624
136.292017,-1072.880281,3.622,3.622
136.253344,-1067.634569,3.620,3.620
136.209989,-1062.395033,3.620,3.620
136.161861,-1057.161721,3.622,3.622
136.105370,-1051.922116,3.625,3.625
136.048763,-1046.682454,3.630,3.630
135.989634,-1041.442812,3.636,3.636
135.931624,-1036.203147,3.644,3.644
135.872768,-1030.957315,3.654,3.654
135.814204,-1025.717640,3.665,3.665
135.760881,-1020.471834,3.680,3.680
135.713859,-1015.226072,3.699,3.699
135.668616,-1009.986535,3.717,3.717
135.621604,-1004.740927,3.733,3.733
135.573790,-999.495371,3.744,3.744
135.519712,-994.250047,3.743,3.743
135.463910,-989.004793,3.734,3.734
135.408760,-983.759599,3.723,3.723
135.354841,-978.514567,3.712,3.712
135.303015,-973.275770,3.701,3.701
135.252431,-968.030931,3.692,3.692
135.203907,-962.792215,3.687,3.687
135.157628,-957.553740,3.686,3.686
135.114916,-952.315250,3.691,3.691
135.069979,-947.104356,3.696,3.696
135.072764,-941.885404,3.747,3.747
135.068559,-936.640836,3.784,3.784
135.070140,-931.389848,3.823,3.823
135.076571,-926.151202,3.862,3.862
135.085724,-920.905569,3.898,3.898
135.096201,-915.659909,3.930,3.930
135.111313,-910.407466,3.957,3.957
135.134858,-905.148674,3.979,3.979
135.170194,-899.895806,3.998,3.998
135.213624,-894.648852,4.012,4.012
135.259568,-889.395603,4.020,4.020
135.303150,-884.154264,4.021,4.021
135.336709,-878.906683,4.014,4.014
135.351248,-873.664761,3.988,3.988
135.349968,-868.429033,3.958,3.958
135.334982,-863.205172,3.932,3.932
135.302487,-857.987237,3.911,3.911
135.233231,-852.794377,3.905,3.905
135.108653,-847.570797,3.916,3.916
134.971647,-842.335119,3.928,3.928
134.832232,-837.092781,3.938,3.938
134.690119,-831.844319,3.948,3.948
134.559708,-826.576611,3.948,3.948
134.430457,-821.339918,3.946,3.946
134.298756,-816.103290,3.950,3.950
134.182629,-810.853879,3.973,3.973
134.094844,-805.585380,4.017,4.017
134.035240,-800.329002,4.058,4.058
133.979778,-795.060131,4.098,4.098
134.082150,-789.751465,4.164,4.164
134.198748,-784.524492,4.231,4.231
134.507641,-779.380453,4.274,4.274
135.042199,-774.109590,4.388,4.388
135.812623,-768.794415,4.456,4.456
136.787595,-763.507944,4.469,4.469
138.048275,-758.228066,4.493,4.493
139.456685,-753.063969,4.514,4.514
140.979183,-747.972044,4.516,4.516
142.471792,-742.962276,4.520,4.520
143.952963,-737.942266,4.528,4.528
145.440361,-732.897795,4.529,4.529
146.929608,-727.873012,4.527,4.527
148.429651,-722.831778,4.528,4.528
149.919908,-717.813712,4.518,4.518
151.403878,-712.800303,4.523,4.523
152.889139,-707.768042,4.529,4.529
154.388692,-702.720830,4.525,4.525
155.876632,-697.715858,4.525,4.525
157.361994,-692.684333,4.524,4.524
158.846506,-687.652520,4.516,4.516
160.341599,-682.630109,4.519,4.519
161.838248,-677.607694,4.533,4.533
163.318658,-672.573584,4.526,4.526
164.804373,-667.533961,4.509,4.509
166.306635,-662.517856,4.520,4.520
167.805709,-657.493835,4.536,4.536
169.288049,-652.457930,4.531,4.531
170.771227,-647.421751,4.521,4.521
172.267941,-642.389254,4.524,4.524
173.759513,-637.361476,4.524,4.524
175.250906,-632.333459,4.525,4.525
176.747379,-627.293766,4.520,4.520
178.234573,-622.277358,4.525,4.525
179.731451,-617.230977,4.531,4.531
181.223275,-612.195825,4.525,4.525
182.710966,-607.172370,4.521,4.521
184.198442,-602.155243,4.529,4.529
185.683540,-597.098391,4.527,4.527
187.184514,-592.072222,4.526,4.526
188.667607,-587.047186,4.525,4.525
190.161410,-582.012295,4.530,4.530
191.659299,-576.972090,4.529,4.529
193.143071,-571.953681,4.528,4.528
194.636988,-566.899423,4.524,4.524
196.123083,-561.882196,4.509,4.509
197.599937,-556.856407,4.507,4.507
199.085294,-551.820841,4.511,4.511
200.586823,-546.777572,4.519,4.519
202.101619,-541.751505,4.526,4.526
203.590551,-536.743556,4.525,4.525
204.976192,-531.842200,4.530,4.530
206.331447,-526.065313,4.604,4.604
207.316846,-520.301872,4.852,4.852
207.658189,-514.464774,5.027,5.027
207.388077,-508.836110,5.089,5.089
206.142522,-503.616374,5.025,5.025
203.824013,-499.042101,4.816,4.816
200.309418,-494.443597,4.567,4.567
196.600770,-490.639832,4.565,4.565
191.830898,-487.007702,4.516,4.516
187.624879,-483.890827,4.510,4.510
183.448307,-480.762283,4.553,4.553
179.255704,-477.591107,4.630,4.630
175.006425,-474.433542,4.637,4.637
170.713253,-471.108137,4.619,4.619
166.577343,-467.734485,4.578,4.578
162.505941,-464.284004,4.499,4.499
158.431265,-460.626415,4.417,4.417
154.619770,-456.714838,4.400,4.400
151.062384,-452.545990,4.466,4.466
147.680698,-448.177069,4.501,4.501
144.531633,-443.713418,4.449,4.449
141.615871,-438.992620,4.365,4.365
139.064429,-434.240421,4.360,4.360
136.700783,-429.137444,4.361,4.361
134.685189,-423.802437,4.329,4.329
133.118613,-418.577271,4.235,4.235
131.851846,-413.387281,4.140,4.140
130.935961,-407.998508,4.190,4.190
130.382381,-402.424701,4.328,4.328
130.093669,-396.804386,4.291,4.291
130.008372,-391.600559,4.173,4.173
129.961110,-386.370362,4.117,4.117
129.952390,-381.114843,4.094,4.094
129.950859,-375.902711,4.095,4.095
129.939867,-370.659393,4.111,4.111
129.911133,-365.422205,4.118,4.118
129.859999,-360.191157,4.121,4.121
129.794476,-354.941585,4.115,4.115
129.725205,-349.685524,4.093,4.093
129.644114,-344.442160,4.062,4.062
129.566573,-339.198374,4.037,4.037
129.485183,-333.948393,4.007,4.007
129.403326,-328.704480,3.976,3.976
129.334336,-323.447743,3.954,3.954
129.283098,-318.203202,3.941,3.941
129.233048,-312.952246,3.932,3.932
129.181190,-307.707557,3.919,3.919
129.129815,-302.462729,3.912,3.912
129.074898,-297.217955,3.902,3.902
129.019476,-291.973026,3.899,3.899
128.962887,-286.728366,3.896,3.896
128.904127,-281.489764,3.897,3.897
128.850161,-276.232519,3.911,3.911
128.805839,-270.993879,3.929,3.929
128.760174,-265.737089,3.944,3.944
128.714526,-260.492673,3.959,3.959
128.668283,-255.236841,3.966,3.966
128.618480,-249.993204,3.976,3.976
128.589776,-244.681456,3.959,3.959
128.565026,-239.500846,3.934,3.934
128.513854,-234.233441,3.937,3.937
128.479953,-228.979163,3.926,3.926
128.446906,-223.745479,3.914,3.914
128.418089,-218.504664,3.918,3.918
128.389026,-213.263941,3.922,3.922
128.358549,-208.023976,3.926,3.926
128.327073,-202.779405,3.931,3.931
128.295286,-197.533884,3.935,3.935
128.262368,-192.295257,3.939,3.939
128.229586,-187.056522,3.943,3.943
128.195873,-181.812114,3.947,3.947
128.162254,-176.573880,3.951,3.951
128.128692,-171.329390,3.956,3.956
128.095062,-166.091159,3.960,3.960
128.061877,-160.846411,3.964,3.964
128.029519,-155.607461,3.968,3.968
127.996933,-150.362380,3.972,3.972
127.964475,-145.123470,3.976,3.976
127.931928,-139.878362,3.980,3.980
127.899442,-134.639469,3.985,3.985
127.867027,-129.394284,3.989,3.989
127.834468,-124.155453,3.993,3.993
127.801550,-118.910569,3.997,3.997
127.769020,-113.671683,4.001,4.001
127.737208,-108.426174,4.005,4.005
127.705352,-103.186928,4.010,4.010
127.674327,-97.940979,4.014,4.014
127.644594,-92.897601,4.023,4.023
127.613547,-87.458045,4.022,4.022
127.584237,-82.211218,4.026,4.026
127.555681,-76.964046,4.030,4.030
127.528920,-71.722272,4.035,4.035
127.502532,-66.474080,4.039,4.039
127.477464,-61.231618,4.043,4.043
127.452963,-55.982703,4.047,4.047
127.429260,-50.739705,4.051,4.051
127.405872,-45.490380,4.055,4.055
127.382647,-40.247226,4.060,4.060
127.359625,-34.997765,4.064,4.064
127.336712,-29.754506,4.068,4.068
127.314215,-24.504874,4.072,4.072
127.291689,-19.261485,4.076,4.076
127.269603,-14.011710,4.080,4.080
127.247791,-8.768091,4.085,4.085
127.226308,-3.518142,4.089,4.089
127.205521,1.725788,4.093,4.093
127.180255,6.994536,4.091,4.091
127.075144,12.000373,4.094,4.094
126.795175,17.016641,4.250,4.250
126.233867,22.639454,4.723,4.723
125.211685,27.760247,5.489,5.489
123.414800,32.473026,6.233,6.233
120.446703,36.560288,6.699,6.699
115.656046,39.969412,6.517,6.517
110.777399,42.008978,6.054,6.054
105.637275,43.181883,5.658,5.658
100.170463,43.860082,5.454,5.454
94.327909,44.145258,5.502,5.502
89.246910,44.227094,5.574,5.574
84.027897,44.180276,5.589,5.589
78.866241,44.195234,5.618,5.618
73.785854,44.222941,5.633,5.633
68.692801,44.254120,5.644,5.644
63.550922,44.292637,5.643,5.643
58.444740,44.363255,5.646,5.646
53.350279,44.443604,5.643,5.643
48.257444,44.527063,5.642,5.642
43.157989,44.623288,5.637,5.637
38.047477,44.719914,5.629,5.629
32.905309,44.816737,5.622,5.622
27.667698,44.902350,5.601,5.601
22.439322,44.987146,5.586,5.586
17.203845,45.068253,5.576,5.576
11.968273,45.137448,5.563,5.563
6.726255,45.200350,5.555,5.555
1.484240,45.262304,5.544,5.544
-3.745605,45.316232,5.540,5.540
-8.994148,45.367854,5.534,5.534
-14.218108,45.413361,5.532,5.532
-19.467112,45.453643,5.532,5.532
-24.710193,45.492727,5.530,5.530
-29.966375,45.532018,5.527,5.527
-35.222463,45.577550,5.520,5.520
-40.479175,45.627179,5.510,5.510
-45.729584,45.681244,5.498,5.498
-50.980395,45.739234,5.485,5.485
-56.237502,45.800384,5.470,5.470
-61.482321,45.863005,5.454,5.454
-66.733563,45.926094,5.438,5.438
-71.978615,45.988108,5.423,5.423
-77.205205,46.045198,5.410,5.410
-82.444359,46.091459,5.401,5.401
-87.696018,46.136369,5.394,5.394
-92.941436,46.183540,5.389,5.389
-98.193077,46.232380,5.385,5.385
-103.444692,46.284353,5.382,5.382
