# x_m,y_m,w_tr_right_m,w_tr_left_m
-392.196838,-529.493382,3.535,3.535
-392.294581,-534.738812,3.539,3.539
-392.390726,-539.977875,3.542,3.542
-392.487191,-545.222843,3.543,3.543
-392.583626,-550.467405,3.541,3.541
-392.677473,-555.699179,3.540,3.540
-392.769726,-560.936874,3.544,3.544
-392.867051,-566.180581,3.554,3.554
-392.968190,-571.417630,3.567,3.567
-393.070637,-576.660708,3.581,3.581
-393.173550,-581.903534,3.592,3.592
-393.277719,-587.146148,3.598,3.598
-393.381212,-592.382399,3.601,3.601
-393.481537,-597.624704,3.603,3.603
-393.573529,-602.848391,3.608,3.608
-393.659758,-608.084390,3.621,3.621
-393.746223,-613.320349,3.639,3.639
-393.831661,-618.556437,3.658,3.658
-393.914986,-623.792661,3.676,3.676
-393.995667,-629.041751,3.688,3.688
-394.074369,-634.285058,3.693,3.693
-394.152501,-639.528895,3.695,3.695
-394.229006,-644.767403,3.691,3.691
-394.301108,-650.012786,3.682,3.682
-394.363933,-655.259792,3.662,3.662
-394.425491,-660.469922,3.637,3.637
-394.490012,-665.748503,3.609,3.609
-394.556135,-670.991313,3.582,3.582
-394.623719,-676.234293,3.559,3.559
-394.694174,-681.484785,3.540,3.540
-394.770025,-686.737216,3.524,3.524
-394.849805,-691.973989,3.512,3.512
-394.926971,-697.204452,3.509,3.509
-394.993326,-702.422271,3.517,3.517
-395.034229,-707.646315,3.545,3.545
-395.064812,-712.845878,3.577,3.577
-395.084247,-718.126796,3.612,3.612
-395.108575,-723.388151,3.641,3.641
-395.143011,-728.704427,3.662,3.662
-395.185302,-733.898885,3.674,3.674
-395.232902,-739.167823,3.683,3.683
-395.286825,-744.412547,3.685,3.685
-395.349654,-749.675465,3.680,3.680
-395.421738,-754.931733,3.666,3.666
-395.501965,-760.144433,3.648,3.648
-395.592698,-765.444882,3.626,3.626
-395.689349,-770.701430,3.602,3.602
-395.794412,-775.945823,3.579,3.579
-395.906834,-781.186060,3.562,3.562
-396.028582,-786.445863,3.559,3.559
-396.140507,-791.646137,3.567,3.567
-396.253501,-796.893005,3.576,3.576
-396.376112,-802.132249,3.593,3.593
-396.503681,-807.378107,3.614,3.614
-396.630311,-812.619746,3.631,3.631
-396.758838,-817.857925,3.651,3.651
-396.875494,-823.097609,3.660,3.660
-396.988712,-828.399797,3.664,3.664
-397.092663,-833.573744,3.667,3.667
-397.190922,-838.806920,3.664,3.664
-397.284712,-843.983146,3.661,3.661
-397.379071,-849.216386,3.654,3.654
-397.477022,-854.433415,3.641,3.641
-397.569925,-859.540737,3.626,3.626
-397.661863,-864.826542,3.615,3.615
-397.752626,-869.967387,3.602,3.602
-397.845068,-875.169355,3.590,3.590
-397.936645,-880.296336,3.579,3.579
-398.027419,-885.472137,3.567,3.567
-398.119765,-890.492323,3.556,3.556
-398.210911,-895.709684,3.548,3.548
-398.305656,-900.877660,3.540,3.540
-398.402108,-906.049706,3.534,3.534
-398.503441,-911.286490,3.526,3.526
-398.597880,-916.358696,3.524,3.524
-398.698669,-921.603316,3.525,3.525
-398.797105,-926.804188,3.527,3.527
-398.899058,-932.141855,3.526,3.526
-398.980493,-937.214416,3.528,3.528
-399.042854,-942.238087,3.533,3.533
-399.093976,-947.284772,3.555,3.555
-399.101577,-952.353677,3.563,3.563
-399.115106,-957.435043,3.578,3.578
-399.125632,-962.533633,3.592,3.592
-399.121757,-968.143917,3.603,3.603
-399.110348,-973.254043,3.621,3.621
-399.080423,-978.368095,3.650,3.650
-399.031121,-983.478261,3.704,3.704
-398.961106,-988.810381,3.771,3.771
-398.905254,-994.028589,3.824,3.824
-398.856727,-999.216322,3.877,3.877
-398.823913,-1004.432331,3.923,3.923
-398.809302,-1009.639132,3.950,3.950
-398.812239,-1014.812144,3.963,3.963
-398.847346,-1020.084597,3.959,3.959
-398.951725,-1025.306014,3.934,3.934
-399.070059,-1030.512963,3.901,3.901
-399.153806,-1035.681716,3.851,3.851
-399.247992,-1040.897423,3.781,3.781
-399.420116,-1046.227215,3.684,3.684
-399.863634,-1051.468533,3.581,3.581
-400.572055,-1056.575218,3.560,3.560
-401.465208,-1061.535936,3.634,3.634
-402.685813,-1066.737010,3.869,3.869
-404.450024,-1071.601977,3.928,3.928
-406.574063,-1076.332509,4.117,4.117
-409.335790,-1081.046820,4.196,4.196
-412.568636,-1085.682193,4.272,4.272
-415.991640,-1089.899489,4.306,4.306
-419.677173,-1093.855071,4.290,4.290
-423.514107,-1097.560175,4.281,4.281
-427.519613,-1101.015876,4.292,4.292
-431.825871,-1104.234491,4.315,4.315
-436.512104,-1107.171160,4.308,4.308
-441.242610,-1109.622463,4.281,4.281
-446.254037,-1111.746183,4.284,4.284
-451.351547,-1113.491143,4.284,4.284
-456.611593,-1114.906588,4.211,4.211
-461.911848,-1115.837151,4.120,4.120
-467.346102,-1116.271741,4.058,4.058
-472.713602,-1116.325360,4.035,4.035
-477.971555,-1116.177261,4.060,4.060
-483.284982,-1115.846734,4.164,4.164
-488.544553,-1115.280825,4.351,4.351
-493.722717,-1114.573474,4.529,4.529
-499.374969,-1113.683296,4.616,4.616
-504.493256,-1112.761278,4.640,4.640
-510.040728,-1111.529981,4.569,4.569
-515.029000,-1110.208413,4.407,4.407
-520.305293,-1108.576121,4.217,4.217
-525.325713,-1106.820418,4.080,4.080
-530.154405,-1105.030640,4.012,4.012
-534.947965,-1103.227769,3.992,3.992
-539.739364,-1101.383771,3.995,3.995
-544.926729,-1099.393867,4.014,4.014
-550.557094,-1097.225293,4.043,4.043
-555.354904,-1095.380052,4.070,4.070
-560.119694,-1093.555674,4.101,4.101
-564.981846,-1091.706336,4.134,4.134
-569.862134,-1089.854736,4.158,4.158
-574.730478,-1088.009387,4.178,4.178
-579.599543,-1086.169235,4.196,4.196
-584.476690,-1084.332928,4.207,4.207
-589.341708,-1082.516017,4.209,4.209
-594.224194,-1080.728859,4.199,4.199
-599.111684,-1078.956273,4.184,4.184
-603.997762,-1077.198011,4.166,4.166
-608.903456,-1075.442462,4.147,4.147
-613.805850,-1073.693739,4.129,4.129
-618.704810,-1071.954247,4.111,4.111
-623.611019,-1070.216952,4.092,4.092
